temperature_0,temperature_1,package_0,package_1,preservative_0,preservative_1,preservative_2,sterilization_0,sterilization_1,sterilization_2,target
0,1,0,1,0,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,1,1
0,1,0,1,0,1,0,0,0,1,1
0,1,0,1,0,1,0,0,0,1,100
0,1,0,1,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1000
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,1000
0,1,1,0,0,0,1,0,0,1,1000
0,1,0,1,0,0,1,0,0,1,1
1,0,1,0,0,0,1,0,0,1,1
1,0,0,1,0,1,1,0,0,1,100
1,0,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,1,0,0,0,0,1,100
1,1,1,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,1,0,10000
1,1,1,1,0,0,1,0,1,1,10000
0,1,0,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1000
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,100
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,100
0,1,1,0,0,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1000
0,1,1,1,0,0,1,1,0,0,1000
0,1,1,1,0,0,1,0,1,0,10000
0,1,1,1,0,0,1,0,1,0,10000
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,1,0,0,0,1,1000
0,1,1,0,0,0,1,0,0,1,100
1,1,1,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,1,0,100
1,1,1,1,0,0,1,0,1,0,1000
1,1,1,1,0,0,1,0,1,0,1000
0,1,1,1,0,0,1,0,0,1,10000
0,1,1,1,0,0,1,0,0,1,100
1,0,1,1,0,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,1,0,0,0,0,1,100
0,1,1,0,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,1,0,0,1000
0,1,1,0,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,1,0,0,100
0,1,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
1,0,0,1,0,0,1,0,0,1,1
0,1,1,1,1,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,1,0,1,0,1,0,10000
0,1,1,1,0,0,1,0,1,0,10000
0,1,1,1,1,0,1,0,1,0,100000
0,1,1,1,0,0,1,0,1,0,100000
0,1,1,1,0,0,1,1,0,0,1000
0,1,1,1,0,0,1,0,1,0,10000
0,1,1,1,0,0,1,0,1,0,10000
0,1,1,1,0,0,1,0,0,1,100
0,1,1,1,1,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,100
0,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,1,1,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1000
1,0,0,1,0,0,1,0,0,1,1
1,0,0,1,0,1,0,0,0,1,100
1,0,0,1,0,1,0,0,0,1,100
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,1,0,100
1,0,1,1,0,0,1,0,0,1,1
1,0,1,0,0,0,1,0,0,1,1
1,0,1,0,0,1,1,0,0,1,1
1,0,1,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,1,0,100
1,1,1,1,0,0,1,0,1,0,1000
1,1,1,1,0,0,1,0,1,0,1000
1,1,1,1,1,0,0,0,0,1,1000
1,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1
1,0,1,0,0,0,1,0,0,1,1
1,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,1
0,1,1,1,1,0,0,1,0,0,10000
0,1,1,1,0,0,1,1,0,0,1
1,0,1,1,1,0,0,0,1,1,1000
1,0,1,1,0,0,1,0,1,1,100
0,1,1,1,0,0,1,0,0,1,100
0,1,0,1,0,0,1,0,0,1,1
0,1,0,1,1,0,0,0,0,1,100
0,1,0,1,1,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,1,100
0,1,0,1,0,0,1,0,0,1,1
1,1,1,1,0,0,1,0,1,1,10000
0,1,0,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,0,1,1
0,1,1,1,1,0,0,0,0,1,1
1,0,1,1,1,0,0,0,1,1,1000
1,0,1,1,0,0,1,0,1,1,100
0,1,0,1,0,1,0,0,0,1,100
0,1,0,1,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,1,0,1
1,1,1,1,0,0,1,0,1,0,10000
1,1,1,1,0,0,1,0,1,0,100000
0,1,1,1,0,0,1,0,1,0,100000
0,1,1,1,0,0,1,0,0,1,10000
0,1,1,0,1,0,0,0,0,1,1
0,1,1,0,1,0,0,0,1,1,1000
1,0,1,0,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,0,1,0,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,1,0,1,0,100000
1,0,1,0,0,1,1,0,0,1,1
