temperature,package,preservative,sterilization,target,frequency_encoded
1,1,1,1,1,0.2415902140672783
1,1,4,1,1,0.2415902140672783
1,1,4,1,1,0.2415902140672783
1,1,4,1,100,0.2415902140672783
1,1,4,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,1000,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,100,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,3,1,1,1000,0.20795107033639143
1,3,1,1,1000,0.20795107033639143
1,1,1,1,1,0.2415902140672783
2,3,1,1,1,0.20795107033639143
2,1,3,1,100,0.2415902140672783
2,1,1,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
1,2,1,1,1,0.5504587155963303
1,2,5,1,100,0.5504587155963303
3,2,1,1,1,0.5504587155963303
3,2,1,3,10000,0.5504587155963303
3,2,1,4,10000,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,2,1,1,100,0.5504587155963303
1,3,1,1,100,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,100,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,2,1,1,1000,0.5504587155963303
1,3,1,1,1,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,1,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,3,1,1,100,0.20795107033639143
1,2,1,1,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
2,2,1,1,1,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,3,1,1,1000,0.20795107033639143
1,2,1,2,1000,0.5504587155963303
1,2,1,3,10000,0.5504587155963303
1,2,1,3,10000,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,3,4,1,1000,0.20795107033639143
1,3,1,1,100,0.20795107033639143
3,2,1,1,1,0.5504587155963303
3,2,1,3,100,0.5504587155963303
3,2,1,3,1000,0.5504587155963303
3,2,1,3,1000,0.5504587155963303
1,2,1,1,10000,0.5504587155963303
1,2,1,1,100,0.5504587155963303
2,2,1,1,1,0.5504587155963303
1,1,4,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
3,2,1,1,1,0.5504587155963303
1,2,1,1,100,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,1,1,1,1,0.2415902140672783
3,2,1,1,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,5,1,100,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,2,1,1,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
2,2,1,1,1,0.5504587155963303
2,2,1,2,1000,0.5504587155963303
1,3,1,1,1,0.20795107033639143
1,2,1,1,1,0.5504587155963303
1,2,1,2,100,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
2,1,1,1,1,0.2415902140672783
1,2,2,1,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,2,2,3,10000,0.5504587155963303
1,2,1,3,10000,0.5504587155963303
1,2,2,3,100000,0.5504587155963303
1,2,1,3,100000,0.5504587155963303
1,2,1,2,1000,0.5504587155963303
1,2,1,3,10000,0.5504587155963303
1,2,1,3,10000,0.5504587155963303
1,2,1,1,100,0.5504587155963303
1,2,2,1,100,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,3,1,1,100,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,1,0.20795107033639143
1,2,2,1,100,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
1,2,1,1,100,0.5504587155963303
1,2,1,1,1000,0.5504587155963303
2,1,1,1,1,0.2415902140672783
2,1,4,1,100,0.2415902140672783
2,1,4,1,100,0.2415902140672783
1,2,1,1,1,0.5504587155963303
1,2,1,3,100,0.5504587155963303
2,2,1,1,1,0.5504587155963303
2,3,1,1,1,0.20795107033639143
2,3,3,1,1,0.20795107033639143
2,2,1,1,1,0.5504587155963303
3,2,1,3,100,0.5504587155963303
3,2,1,3,1000,0.5504587155963303
3,2,1,3,1000,0.5504587155963303
3,2,5,1,1000,0.5504587155963303
3,2,1,1,1,0.5504587155963303
1,2,1,3,1,0.5504587155963303
2,3,1,1,1,0.20795107033639143
2,3,1,1,1,0.20795107033639143
2,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,3,1,1,1,0.20795107033639143
1,2,5,2,10000,0.5504587155963303
1,2,1,2,1,0.5504587155963303
2,2,5,4,1000,0.5504587155963303
2,2,1,4,100,0.5504587155963303
1,2,1,1,100,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,1,5,1,100,0.2415902140672783
1,1,2,1,1,0.2415902140672783
1,1,4,1,100,0.2415902140672783
1,1,1,1,1,0.2415902140672783
3,2,1,4,10000,0.5504587155963303
1,1,1,1,1,0.2415902140672783
1,2,1,1,1,0.5504587155963303
2,2,1,1,1,0.5504587155963303
1,2,5,1,1,0.5504587155963303
2,2,5,4,1000,0.5504587155963303
2,2,1,4,100,0.5504587155963303
1,1,4,1,100,0.2415902140672783
1,1,4,1,1,0.2415902140672783
1,1,1,1,1,0.2415902140672783
2,2,1,3,1,0.5504587155963303
3,2,1,3,10000,0.5504587155963303
3,2,1,3,100000,0.5504587155963303
1,2,1,3,100000,0.5504587155963303
1,2,1,1,10000,0.5504587155963303
1,3,5,1,1,0.20795107033639143
1,3,5,4,1000,0.20795107033639143
2,3,1,1,1,0.20795107033639143
2,2,1,1,1,0.5504587155963303
2,2,1,3,1,0.5504587155963303
1,2,1,1,1,0.5504587155963303
1,2,1,3,100000,0.5504587155963303
2,3,3,1,1,0.20795107033639143
2,3,1,1,1,0.20795107033639143
2,2,1,1,1,0.5504587155963303
1,1,1,1,1,0.2415902140672783
2,1,1,1,1,0.2415902140672783
3,2,2,3,1,0.5504587155963303
3,2,1,3,100,0.5504587155963303
2,2,1,1,1,0.5504587155963303
2,2,1,1,1,0.5504587155963303
2,3,1,1,1,0.20795107033639143
1,2,1,1,1000,0.5504587155963303
1,3,1,1,10000,0.20795107033639143
1,2,1,1,1,0.5504587155963303
1,3,1,1,100,0.20795107033639143
1,1,1,1,1,0.2415902140672783
1,3,1,1,1,0.20795107033639143
2,3,1,1,1,0.20795107033639143
2,3,1,1,1,0.20795107033639143
1,2,1,2,1,0.5504587155963303
1,2,1,3,1,0.5504587155963303
